voucher_id	campaign
EN0E5AF797265C9E5	Videocon201620may
EN54947B62BD828F0	Videocon201620may
ENC2C76875DC7AD1E	Videocon201620may
ENEBF953F89078B7A	Videocon201620may
ENFEDB4E68004F807	Videocon201620may
EN328B46919FB8582	Videocon201620may
EN102E5B6124D5B65	Videocon201620may
ENAEB9A3ABEF1A057	Videocon201620may
EN597485D9BF51F31	Videocon201620may
EN5F2F8023B5C5D9A	Videocon201620may
ENF4A96D9236EDBC3	Videocon201620may
EN9AF87C5AAF1F00A	Videocon201620may
EN42DB51E6897CB1E	Videocon201620may
ENE76086F3180BBC5	Videocon201620may
EN10ED6B49C856311	Videocon201620may
EN05E00CF105A4319	Videocon201620may
EN6E12B215DCB179D	Videocon201620may
EN8ADDD2496F117FA	Videocon201620may
EN580B73D9B8898BB	Videocon201620may
ENA50B5B626564CA9	Videocon201620may
EN2E135725651207A	Videocon201620may
ENE56A30F975F6E5B	Videocon201620may
EN31AF8EAED16985F	Videocon201620may
END06C5CB7DDD2522	Videocon201620may
EN7174749B258E5C2	Videocon201620may
EN3C640E8EACC2BE0	Videocon201620may
EN395B658632BD176	Videocon201620may
EN5CD8013F8E5F460	Videocon201620may
EN080497E99CB4270	Videocon201620may
EN12E983285B2E2D6	Videocon201620may
ENE77984D3C82AB84	Videocon201620may
EN02C7DA55E11BCB8	Videocon201620may
EN3BFD1F9253534AC	Videocon201620may
EN6EAC251BB66550C	Videocon201620may
EN57105BCA82F865C	Videocon201620may
EN86DE48ACF66EEAE	Videocon201620may
EN8016091F22C68E2	Videocon201620may
EN72AA482DA892C98	Videocon201620may
EN04FD85BC9954F2E	Videocon201620may
ENE62421B63EDE4F4	Videocon201620may
ENAC706B0588D1EB3	Videocon201620may
EN46CB5ACD0DD7568	Videocon201620may
ENCB89D8026AA17D1	Videocon201620may
EN1804D2609F3912C	Videocon201620may
EN9EDD466599D3626	Videocon201620may
ENA3DD63CB89BD692	Videocon201620may
EN20F745C98C34AE5	Videocon201620may
EN2B74841E52A3F55	Videocon201620may
EN3FF36F4E1E04A99	Videocon201620may
EN3C60314C0AEBC63	Videocon201620may
EN42F52A08920B851	Videocon201620may
EN44456C31B037CF3	Videocon201620may
EN136A3686817AC54	Videocon201620may
ENC9896F51BA6448F	Videocon201620may
ENF547AB1DD4838D4	Videocon201620may
EN01016A08CBDB864	Videocon201620may
ENBA2679302118CA5	Videocon201620may
EN7E5DB9DAD4A9336	Videocon201620may
ENC50C7912658D5C7	Videocon201620may
EN56F42C4FAD621C9	Videocon201620may
EN4B14CCB764F5AC0	Videocon201620may
EN58D88F7DF2372FC	Videocon201620may
ENBA3C288B7C25CA9	Videocon201620may
ENB4F8AE23A29690A	Videocon201620may
EN3C49CEF221C67A2	Videocon201620may
ENE896ED20B06FB0E	Videocon201620may
EN2E7244498F03CE3	Videocon201620may
EN1DFB3EB0F0DA74E	Videocon201620may
EN65D03B5170F536F	Videocon201620may
EN4FFA96F183E70A5	Videocon201620may
END8F7CE266BC950F	Videocon201620may
ENC782FF593429C8B	Videocon201620may
EN788F1E2618DFD7E	Videocon201620may
EN8F42BBE081BA6E8	Videocon201620may
EN77A3AF641BAE033	Videocon201620may
EN03120FE88FF265E	Videocon201620may
ENB30CB08E91F119C	Videocon201620may
ENB63EF40F51893E8	Videocon201620may
EN984CB43079137F7	Videocon201620may
EN158247542C010B9	Videocon201620may
EN1420D9432D93E25	Videocon201620may
EN754834D46ECE9B7	Videocon201620may
EN66C81EB51721B26	Videocon201620may
ENC0D754386D7541C	Videocon201620may
ENE952A5AA6078F22	Videocon201620may
EN09B009FB6E2DCE8	Videocon201620may
EN0516E1B2BB93B21	Videocon201620may
EN2B887D807DAD01F	Videocon201620may
ENC62BAF10A57C036	Videocon201620may
EN72C4F40C315481F	Videocon201620may
EN6C2193E2726A0B6	Videocon201620may
EN73C15C450735E52	Videocon201620may
EN68B9A30A13075DC	Videocon201620may
ENA58CFEAB810D231	Videocon201620may
ENA9016C3CBDDFB0A	Videocon201620may
ENC3F64F9514781E5	Videocon201620may
EN5FD0AF71D2BFF5A	Videocon201620may
EN560E56340BDF4F6	Videocon201620may
EN8D97861EF18890B	Videocon201620may
EN64FEC6BC102D500	Videocon201620may
EN7444DE664587862	Videocon201620may
EN096D0DC7CB0C352	Videocon201620may
ENC3D2D5D07AFA7D9	Videocon201620may
EN679B4EC6C33CA31	Videocon201620may
EN468BFA7E42F50CD	Videocon201620may
EN47D481D765EF5AE	Videocon201620may
EN8F100B8B7EDA044	Videocon201620may
EN2CE71A36D4B4951	Videocon201620may
EN2FA010C7A3D3FDA	Videocon201620may
EN3C90F451CB977E2	Videocon201620may
EN609833C855FBB3B	Videocon201620may
EN6FB973ECE8C0762	Videocon201620may
EN4F2527D859CE264	Videocon201620may
EN5FA9469A4E540D0	Videocon201620may
EN5A233053386151C	Videocon201620may
EN66A3C2D664496EB	Videocon201620may
ENCAA9F16A68B804F	Videocon201620may
EN3D1E67FA7E20B30	Videocon201620may
ENEAF6E90C06E3E60	Videocon201620may
EN2E0A79DD6870940	Videocon201620may
EN19C978F256E46D0	Videocon201620may
EN505B07C7C3ABE2B	Videocon201620may
EN52F5715F1778E7F	Videocon201620may
EN45DB3EB082128BB	Videocon201620may
EN468DA0C355FC9F1	Videocon201620may
EN65BCC7E3CF2C5AF	Videocon201620may
EN6A49CFEE3326A6C	Videocon201620may
EN3899E022411F6EA	Videocon201620may
EN57BE92EBA7EEAA8	Videocon201620may
EN51FABF4A0128FA8	Videocon201620may
ENCBA8F41C7D26937	Videocon201620may
ENB9086BE3C95544F	Videocon201620may
EN11132E2EDFCD2F7	Videocon201620may
EN58139E706CFDF4A	Videocon201620may
EN9038EEBC8F49757	Videocon201620may
EN3B2582A1F6B7CCE	Videocon201620may
ENBF7B3B5857B1E42	Videocon201620may
ENCB1460A3854ED37	Videocon201620may
END64A14676BD9C1B	Videocon201620may
ENF49C48A340E7DA1	Videocon201620may
EN4D3E375B8714574	Videocon201620may
EN5F5E9EFBFD3ADA8	Videocon201620may
ENBB896BB9188A1DE	Videocon201620may
EN8D6DC5F6945FC0D	Videocon201620may
EN41212FDA41C50DB	Videocon201620may
EN36B80B7170C18CC	Videocon201620may
EN69D0531E8A59FC5	Videocon201620may
EN71F2DC98BBA8EC0	Videocon201620may
EN70C7CAA53341F8D	Videocon201620may
EN6CFB5350225C02A	Videocon201620may
ENB0DEB58519CC0B6	Videocon201620may
EN3C85BE4494DD74C	Videocon201620may
EN96DE3A88437389E	Videocon201620may
EN06FE67F0140027A	Videocon201620may
ENDA03AA60633C87D	Videocon201620may
ENE16B6EB28157A25	Videocon201620may
EN25CA881B47671C3	Videocon201620may
ENECE446300217F0E	Videocon201620may
ENDB2501EBC86E2C5	Videocon201620may
ENF01017F89E0FE66	Videocon201620may
EN0C9D2B2D68C7C2E	Videocon201620may
ENC69ABB338FC06AC	Videocon201620may
EN6C4F5BB0A8C55E0	Videocon201620may
EN3F3AC776F743471	Videocon201620may
ENE5C4BE41E45D3AD	Videocon201620may
ENFBDB9C18B874F81	Videocon201620may
ENCEBC33C8F6277E6	Videocon201620may
EN594EAB5F2A74D31	Videocon201620may
EN7F277A6F2EE42AE	Videocon201620may
EN8C02F0DA95F3BFB	Videocon201620may
ENE166982F1506FA9	Videocon201620may
ENB32D8038B5513DF	Videocon201620may
EN947332A8B991E28	Videocon201620may
EN20D5C6F32460720	Videocon201620may
ENC6E8EF1E3F50201	Videocon201620may
ENC15DA29F1CB64CE	Videocon201620may
EN11BF6D1301528EC	Videocon201620may
ENB51790A04F56564	Videocon201620may
ENB5CF6F18A5610CC	Videocon201620may
ENA7FB515CA1E7CD7	Videocon201620may
EN46CA285939FFB44	Videocon201620may
ENE3DB07ECFC8C9FA	Videocon201620may
ENE886DFD4E50195A	Videocon201620may
ENEA46AE947D92882	Videocon201620may
EN63FA8849637AF4E	Videocon201620may
EN64BDFA862C67229	Videocon201620may
EN4A6DB4C2431C7D6	Videocon201620may
EN4E60380C42BFC65	Videocon201620may
ENEB75233EEDEFDD8	Videocon201620may
EN91A68ECF8377244	Videocon201620may
EN9CC169FB90B0193	Videocon201620may
EN0620D8F0370B657	Videocon201620may
ENF8DCAFEA0A7C25C	Videocon201620may
EN21370C17F655416	Videocon201620may
EN5E29B0E91D93C42	Videocon201620may
ENBDFADC424D24331	Videocon201620may
EN4560D06A7421940	Videocon201620may
ENF4E11DAA71267FF	Videocon201620may
EN01E026A827EB0E3	Videocon201620may
EN113BD37ACDC29D9	Videocon201620may
EN0FB4B358630A769	Videocon201620may
EN7CD2BEE18010E56	Videocon201620may
EN58356F54735C3A1	Videocon201620may
END6242BA7EBE6841	Videocon201620may
EN45168EB299C9639	Videocon201620may
EN31D11D8480AE01B	Videocon201620may
EN4CFD98E0102395A	Videocon201620may
EN4AEEDB06FE7388E	Videocon201620may
ENAADBFFF4FE4A1A7	Videocon201620may
EN1DC5D7435215E83	Videocon201620may
EN7922188DE468DBB	Videocon201620may
END60D1357B3F6512	Videocon201620may
EN293AB3980733400	Videocon201620may
EN2A68AEEBB96B4D3	Videocon201620may
EN9CB5A13D3772F77	Videocon201620may
EN94C58F4079847AD	Videocon201620may
ENDAE9ADD1F062430	Videocon201620may
ENE5C52ECF939A7E0	Videocon201620may
EN95A68BCB1B78E2F	Videocon201620may
EN98374CDB03FB504	Videocon201620may
ENC325D3A7AC227C5	Videocon201620may
EN20C9C636C6B6375	Videocon201620may
EN863A1CE7CA037A9	Videocon201620may
ENFA87757764D4BF3	Videocon201620may
ENE25344E978946A0	Videocon201620may
EN428436DE5EEF70C	Videocon201620may
ENB53EC30DDD35D0F	Videocon201620may
EN0B00C27C422D91E	Videocon201620may
EN79046E770262B55	Videocon201620may
EN7BA0E23F9C93F50	Videocon201620may
EN8A9796125DCE555	Videocon201620may
EN56EC4D97A7B70B3	Videocon201620may
EN37302C7189AB88D	Videocon201620may
ENA5CDA1743E52D58	Videocon201620may
ENEB54ABD77008F4F	Videocon201620may
EN27DD4434909AA30	Videocon201620may
EN9AD93A1F7714554	Videocon201620may
ENBEA49A608492F88	Videocon201620may
EN6C97B6D6C2B01C1	Videocon201620may
EN7332B641E2A336A	Videocon201620may
EN1244338365AE568	Videocon201620may
EN04906ADF06A2014	Videocon201620may
